station_id,city,zipcode,station_name,station_latitude,station_longitude
3199,Jersey City,07310,Newport Pkwy,40.7287448,-74.0321082
3273,Jersey City,07302,Manila & 1st,40.72165072487999,-74.04288411140442
3185,Jersey City,07302,City Hall,40.7177325,-74.043845
3192,Jersey City,07304,Liberty Light Rail,40.7112423,-74.0557013
3202,Jersey City,07310,Newport PATH,40.7272235,-74.0337589
3201,Jersey City,07306,Dey St,40.737711,-74.066921
3187,Jersey City,07311,Warren St,40.7211236,-74.03805095
3203,Jersey City,07310,Hamilton Park,40.727595966,-74.044247311
3213,Jersey City,07302,Van Vorst Park,40.71848892,-74.047726625
3638,Jersey City,07311,Washington St,40.7242941,-74.0354826
3639,Jersey City,07311,Harborside,40.7192517,-74.034234
3225,Jersey City,07306,Baldwin at Montgomery,40.7236589,-74.0641943
3275,Jersey City,07311,Columbus Drive,40.71835519823214,-74.03891444206238
3270,Jersey City,07302,Jersey & 6th St,40.72528910781132,-74.04557168483734
3681,Jersey City,07311,Grand St,40.71517767732029,-74.03768330812454
3211,Jersey City,07302,Newark Ave,40.72152515,-74.046304543
3276,Jersey City,07302,Marin Light Rail,40.71458403535893,-74.04281705617905
3207,Jersey City,07310,Oakland Ave,40.7376037,-74.0524783
3278,Jersey City,07302,Monmouth and 6th,40.72568548362901,-74.04879033565521
3678,Jersey City,07306,Fairmount Ave,40.72572613742557,-74.07195925712585
3194,Jersey City,07306,McGinley Square,40.7253399253558,-74.06762212514877
3193,Jersey City,07306,Lincoln Park,40.7246050998869,-74.07840594649315
3209,Jersey City,07302,Brunswick St,40.7241765,-74.0506564
3268,Jersey City,07304,Lafayette Park,40.71346382669195,-74.06285852193832
3269,Jersey City,07302,Brunswick & 6th,40.72601172964625,-74.05038893222809
3195,Jersey City,07306,Sip Ave,40.73089709786179,-74.06391263008118
3481,Jersey City,07302,York St,40.71649,-74.04105
3205,Jersey City,07302,JC Medical Center,40.71653978099194,-74.0496379137039
3196,Hoboken,07030,Riverview Park,40.7443187,-74.0439909
3212,Jersey City,07310,Christ Hospital,40.734785818,-74.050443636
3210,Jersey City,07307,Pershing Field,40.742677141,-74.051788633
3191,Jersey City,07306,Union St,40.7182113,-74.0836394
3280,Jersey City,07306,Astor Place,40.71928220070702,-74.07126188278198
3272,Jersey City,07302,Jersey & 3rd,40.72333158646436,-74.04595255851744
3279,Jersey City,07302,Dixon Mills,40.721630142638354,-74.04996782541275
3679,Jersey City,07306,Bergen Ave,40.722103786686034,-74.07145500183105
3214,Jersey City,07309,Essex Light Rail,40.7127742,-74.0364857
3186,Jersey City,07302,Grove St PATH,40.71958611647166,-74.04311746358871
3281,Jersey City,07307,Leonard Gordon Park,40.74590996631558,-74.0572714805603
3483,Jersey City,07302,Montgomery St,40.71942,-74.05099
3267,Jersey City,07309,Morris Canal,40.7124188237569,-74.03852552175522
3791,Jersey City,07310,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607
3206,Jersey City,07306,Hilltop,40.7311689,-74.0575736
3184,Jersey City,07309,Paulus Hook,40.7141454,-74.0335519
3640,Jersey City,07306,Journal Square,40.73367,-74.0625
3792,Jersey City,07311,Columbus Dr at Exchange Pl,40.71687,-74.03281
3694,Jersey City,07305,Jackson Square,40.71113,-74.0789
3220,Jersey City,07306,5 Corners Library,40.73496102000952,-74.0595030784607
3198,Hoboken,07030,Heights Elevator,40.74871594538023,-74.04044330120087
3277,Jersey City,07304,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
3677,Jersey City,07306,Glenwood Ave,40.72755146730012,-74.07106071710587
3426,Jersey City,07304,JCBS Depot,40.70965083364061,-74.06860113143921
3256,New York,10014,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
83,Brooklyn,11217,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
3649,New York,10027,W 129 St & Convent Ave,40.814394437915816,-73.95324736833572
3540,New York,10115,Morningside Ave & W 123 St,40.81,-73.9551508
244,Brooklyn,11205,Willoughby Ave & Hall St,40.69196035,-73.96536851
3992,New York,10032,W 169 St & Fort Washington Ave,40.8428422,-73.9421253
3547,New York,10115,Broadway & Moylan Pl,40.8143256,-73.9590255
3623,New York,10115,W 120 St & Claremont Ave,40.8109494,-73.9634
476,New York,10010,E 31 St & 3 Ave,40.74394314,-73.97966069
480,New York,10019,W 53 St & 10 Ave,40.76669671,-73.99061728
285,New York,10003,Broadway & E 14 St,40.73454567,-73.99074142
